"id","post_title","post_name","post_author","comment_status","ping_status","post_status","post_date","publish","category","post_mime_type","guid"
"230","How to download your CPD certificate","How to download your CPD certificate","1","open","closed","inherit","2021/12/15","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/How to download your CPD certificate.pdf"
"232","How to pay your IIPM annual subscription","How to pay your IIPM annual subscription","1","open","closed","inherit","2022/03/10","yes","membership","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/How to pay your IIPM annual subscription online.pdf"
"287","IIPM 2022 Full Accounts","IIPM 2022 Full Accounts","1","open","closed","inherit","2023/04/05","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM 2022 Signed Full Accounts.pdf"
"332","IIPM 2023 Financial Statements","IIPM 2023 Financial Statements","1","open","closed","inherit","2024/03/26","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM 2023 Financial Statements (Signed).pdf"
"334","IIPM AGM Minutes 2023","IIPM AGM Minutes 2023","1","open","closed","inherit","2024/03/26","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM AGM Minutes 2023.pdf"
"295","IIPM April 2023 Webinar","IIPM April 2023 Webinar","1","open","closed","inherit","2023/04/21","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM April Webinar Slides FINAL_0.pdf"
"364","IIPM Course Brochure 2024 v2","IIPM Course Brochure 2024 v2","1","open","closed","inherit","2024/08/15","yes","programmes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Course Brochure 2024 v2.pdf"
"362","IIPM Course Brochure 2024","IIPM Course Brochure 2024","1","open","closed","inherit","2024/07/29","yes","programmes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Course Brochure 2024.pdf"
"376","IIPM CPD Codes 2024","IIPM CPD Codes 2024","1","open","closed","inherit","2024/12/05","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM CPD 2024_Full List.pdf"
"216","IIPM CPD Request Form","IIPM CPD Request Form","1","open","closed","inherit","2021/06/30","yes","past_seminars","application/doc","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM CPD Accreditation Request Form 2021.docx"
"326","IIPM CPD Codes 2023","IIPM CPD Codes 2023","1","open","closed","inherit","2023/12/12","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM CPD Events 2023_0.pdf"
"226","IIPM December Webinar","IIPM December Webinar","1","open","closed","inherit","2021/12/02","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM December 2021.pdf"
"378","IIPM December 2024 Seminar - Slides","IIPM December 2024 Seminar - Slides","1","open","closed","inherit","2024/12/12","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM December Final 2024 Slides.pdf"
"322","IIPM December 2023 Seminar","IIPM December 2023 Seminar","1","open","closed","inherit","2023/12/08","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Ethics 2023 EH Slides.pdf"
"380","IIPM February 2025 Webinar - Slides","IIPM February 2025 Webinar - Slides","1","open","closed","inherit","2025/02/13","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM February 2025 FINAL SLIDES.pdf"
"382","IIPM March 2025 Webinar - Slides","IIPM March 2025 Webinar - Slides","1","open","closed","inherit","2025/03/21","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Final Slides March 2025.pdf"
"298","IIPM June 2023 Seminar - Delegate Slides","IIPM June 2023 Seminar - Delegate Slides","1","open","closed","inherit","2023/06/21","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM June Seminar SLIDES.pdf"
"267","IIPM March 2023 Webinar","IIPM March 2023 Webinar","1","open","closed","inherit","2023/03/10","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM March Webinar Slides.pdf"
"297","IIPM & APLI May 2023 Webinar","IIPM & APLI May 2023 Webinar","1","open","closed","inherit","2023/05/26","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM May Webinar - Delegate Slides.pdf"
"211","IIPM Inaugural Annual Conference 2019","IIPM Inaugural Annual Conference 2019","1","open","closed","inherit","2019/11/15","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM November Conference .pdf"
"316","IIPM November 2023 webinar","IIPM November 2023 webinar","1","open","closed","inherit","2023/11/10","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM November FINAL SLIDES.pdf"
"209","IIPM October Seminar 2019","IIPM October Seminar 2019","1","open","closed","inherit","2020/01/07","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM October Seminar.pdf"
"205","Resetting your password on the IIPM portal","Resetting your password on the IIPM portal","1","open","closed","inherit","2019/12/16","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Portal Password Reset Procedure.pdf"
"167","IIPM Privacy Notice","IIPM Privacy Notice","1","open","closed","inherit","2018/05/25","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Privacy Notice.pdf"
"368","IIPM September webinar - Slides","IIPM September webinar - Slides","1","open","closed","inherit","2024/10/09","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM September 2024 Webinar FINAL.pdf"
"314","IIPM September 2023 webinar","IIPM September 2023 webinar","1","open","closed","inherit","2023/09/14","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM September FINAL SLIDES_1.pdf"
"222","IIPM & SoA Webinar October 2021 slides","IIPM & SoA Webinar October 2021 slides","1","open","closed","inherit","2021/11/04","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM SoA Slides Oct-21.pdf"
"375","IIPM November 2024 Webinar - Slides","IIPM November 2024 Webinar - Slides","1","open","closed","inherit","2024/11/12","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Webinar 7 Nov 2024.pdf"
"281","IIPM Constitution 2023","IIPM Constitution 2023","1","open","closed","inherit","2023/04/04","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM_Constitution_2023.pdf"
"224","IIPM and The Insurance Institute Webinar 28 October 2021 Slides","IIPM and The Insurance Institute Webinar 28 October 2021 Slides","1","open","closed","inherit","2021/11/25","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/ISY_IIPM_II_Slides_281021 FINAL.pdf"
"269","IIPM March 2023 - Delegate handouts 1","IIPM March 2023 - Delegate handouts 1","1","open","closed","inherit","2023/03/10","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/JPMAM Q1 23-guide-to-the-markets.pdf"
"271","IIPM March 2023 - Delegate handouts 2","IIPM March 2023 - Delegate handouts 2","1","open","closed","inherit","2023/03/10","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/JPMAM Q4 22-guide-to-alternatives.pdf"
"360","IIPM June Seminar - LCP Master Trusts Survey 2024 - Slides","IIPM June Seminar - LCP Master Trusts Survey 2024 - Slides","1","open","closed","inherit","2024/06/27","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/LCP Ireland Master Trust Survey 2024.pdf"
"336","Nomination for IIPM Council 2024","Nomination for IIPM Council 2024","1","open","closed","inherit","2024/03/26","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Nomination for Council 2024.pdf"
"342","AGM Notice 2024","AGM Notice 2024","1","open","closed","inherit","2024/03/27","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Notice of AGM to Members 2024-v2_0.pdf"
"346","IIPM March 2024 Webinar","IIPM March 2024 Webinar","1","open","closed","inherit","2024/03/28","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/NWD 2024 - Ireland - FINAL.pdf"
"207","Password and Portal Access","Password and Portal Access","1","open","closed","inherit","2019/12/18","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Password Reset Notes.pdf"
"203","Privacy Notice","Privacy Notice","1","open","closed","inherit","2019/10/16","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/PRIVACY NOTICE OCT 2019.pdf"
"344","Proxy Form AGM 2024","Proxy Form AGM 2024","1","open","closed","inherit","2024/03/27","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Proxy Form AGM 2024-v2.pdf"
"293","AE Rosheen Callendar summary 30 March 2023","AE Rosheen Callendar summary 30 March 2023","1","open","closed","inherit","2023/04/19","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Rosheen Callendar summary.pdf"
"374","IIPM & SAI October 2024 webinar - Slides","IIPM & SAI October 2024 webinar - Slides","1","open","closed","inherit","2024/10/25","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Slides 24 Oct 2024 FINAL.pdf"
